,epoch,training_loss,training_accuracy,training_precision,training_auc,valid_loss,valid_accuracy,valid_precision,valid_auc
0,1,0.7092292578856563,0.45880586,0.36676273,0.5210465333254403,0.6923418022036121,0.56453556,0.41475827,0.5626740422047014
1,2,0.674788988814163,0.600082,0.4363964,0.5762005016444693,0.6668724053156246,0.6441496,0.49473685,0.5445165220768118
2,3,0.6479765908577058,0.6718131,0.56304985,0.6204471681467398,0.65728647947599,0.6381182,0.4375,0.5445450940048786
3,4,0.6280141010980232,0.6843831,0.66019416,0.6557001529394219,0.6363484873846443,0.6513872,0.85714287,0.6373768287039965
4,5,0.6110329430910192,0.68820876,0.7192192,0.6875806278201833,0.6228280015676243,0.65741855,0.9166667,0.6888931370864286
5,6,0.5951437054639437,0.6908048,0.74334896,0.7182508897861524,0.6097453650001737,0.6598311,0.9285714,0.6917668207385298
6,7,0.581897059430319,0.69831944,0.7723214,0.7301051701893043,0.5984155047500666,0.66224366,0.85,0.7215016709872895
7,8,0.568501144244479,0.69790953,0.75103736,0.7563147099684027,0.5895088435082154,0.6610374,0.93333334,0.7559953398961946
8,9,0.5533159054079771,0.7138953,0.7843602,0.7776324109068226,0.5606933548884743,0.681544,0.75,0.8020598879431151
9,10,0.5424379023197391,0.7212734,0.7752577,0.7813481632750414,0.5492740356160015,0.6827503,0.75409836,0.8127471446689113
10,11,0.53089613057108,0.72865146,0.760177,0.7922967418691813,0.5452642573090888,0.6960193,0.8088235,0.8165077403488545
11,12,0.5135536974677462,0.74286103,0.76291794,0.8094210479588339,0.534637202399775,0.69360673,0.7941176,0.8337021028527302
12,13,0.5004554351246867,0.75666076,0.7699115,0.8184914709422789,0.5122892177867084,0.72496986,0.79464287,0.862496012293958
13,14,0.4956661138659635,0.7531083,0.7322835,0.8191292376458428,0.5000528325792963,0.7515078,0.81884056,0.8708087403493717
14,15,0.4713060408118058,0.77278316,0.7563309,0.8426280162046275,0.49529652371193733,0.78166467,0.8156425,0.8750906103040732
15,16,0.4657248562518194,0.78385025,0.76023084,0.845226607083727,0.48264430889318305,0.80458385,0.83,0.8827102513126835
16,17,0.44070069937126805,0.8025687,0.7674088,0.8650830781646394,0.4771245598649231,0.83353436,0.7910448,0.8937186019188892
17,18,0.4378742661074156,0.80202216,0.7544098,0.8639940455852394,0.46077227707507384,0.83956575,0.7766323,0.8979591800232026
18,19,0.42794537435123253,0.80653095,0.7537248,0.8707763785779306,0.4785213904731668,0.82509047,0.72644377,0.9001970940391963
19,20,0.4152214916079141,0.816505,0.7574237,0.8797850167412536,0.4572698814014762,0.8299156,0.75247526,0.8932767633752501
20,21,0.4088091852398156,0.81759804,0.75030303,0.8825591776272274,0.4743787324903095,0.7925211,0.6639785,0.8933180706806563
21,22,0.39114226416529063,0.83413035,0.7735318,0.8946674284267759,0.4749705578651014,0.78287095,0.6425,0.8990272833451712
22,23,0.3924014757265564,0.8255226,0.7508704,0.8918218322507864,0.44246755606877936,0.81302774,0.6893733,0.9021488961560161
23,24,0.38725075521891295,0.8304413,0.7629191,0.8932825147121344,0.39526523626325216,0.84680337,0.79094076,0.9105410363698581
24,25,0.3764646757184881,0.8385025,0.7652439,0.900999664785103,0.3898668927651694,0.84680337,0.7650794,0.9154618802103052
25,26,0.36501659535371406,0.84533405,0.7775212,0.9066745654685809,0.41824695457163996,0.8106152,0.68767124,0.9097209074188497
26,27,0.353534061557886,0.85011613,0.7834933,0.9116734176890937,0.38774873436719576,0.8371532,0.73590505,0.9158528599000697
27,28,0.33986599254940425,0.8588605,0.79691714,0.9186876075484918,0.37725442683883686,0.82147163,0.69945353,0.9264606537590221
28,29,0.3519650986732429,0.8542151,0.79059005,0.9107295199010776,0.35189146961032697,0.85283476,0.751462,0.9357969125540821
29,30,0.3293664864233762,0.8595437,0.79753655,0.9221343790471128,0.3404758174974467,0.8516285,0.7598784,0.9319823363115042
30,31,0.3329607704767586,0.8603634,0.8003096,0.9196134562510232,0.3308561354408218,0.8576598,0.75287354,0.9436359537170383
31,32,0.3186000479034818,0.87156713,0.8193902,0.9262730139128434,0.3432525124567122,0.84680337,0.72031665,0.9495041160829467
32,33,0.3099668824105889,0.8730701,0.8239464,0.9279219871134763,0.33751351295535614,0.84318453,0.7146597,0.9516180321957837
33,34,0.30280671960621164,0.8704741,0.8221078,0.9314286587555329,0.3693856937031119,0.82147163,0.6754808,0.944386144930653
34,35,0.30967465632273566,0.87388986,0.8282306,0.9272030703355684,0.34306930762292104,0.83956575,0.6958637,0.9578294815515259
35,36,0.2964065082127938,0.8846837,0.8536386,0.9332213351074983,0.30093558662906916,0.8588661,0.74515235,0.9496566835724906
36,37,0.29953117978704774,0.8779888,0.84631234,0.9330477475003452,0.2866655402649441,0.8600724,0.7542857,0.9506739449388738
37,38,0.2905883517547422,0.87867194,0.8404685,0.934894765418088,0.361312477666305,0.8287093,0.6818182,0.9483597249637473
38,39,0.28931069903840195,0.87990165,0.8480493,0.9344572082021809,0.3042616281564043,0.85283476,0.7182741,0.9617299239724865
39,40,0.27822069531175053,0.88987565,0.8634868,0.938280705995207,0.2883591346703335,0.86127865,0.73126614,0.9617204178930403
40,41,0.27722050883369637,0.8896024,0.8627773,0.9399201939879842,0.24612214280555275,0.88902295,0.7885714,0.9692097343553933
41,42,0.26088158909472176,0.89424783,0.8719008,0.944896305791942,0.2952852571974042,0.86127865,0.72890025,0.9613039329952013
42,43,0.2708025861448531,0.89506763,0.87008196,0.9409331384763526,0.30233242413966016,0.8588661,0.7251908,0.9627154046202897
43,44,0.252484898392759,0.90258235,0.8762636,0.9488858335958148,0.3268332322486491,0.85283476,0.715,0.9534903757181309
44,45,0.2660825704901999,0.89424783,0.86855036,0.9447198126672669,0.2701618785377866,0.87816644,0.7587131,0.9640409133080965
45,46,0.24510312829818665,0.9032655,0.8759065,0.9499880736724898,0.2360551189563818,0.8986731,0.80172414,0.9709581012404344
