Номер_каталога,Вид,Опушение,Вегетация,Подвиды
PI 289599,T. monococcum,0,X-19,7961-68
к-20491,T. monococcum,1,X-19,8021-30
к-18140,T. monococcum,0,X-19,8032-39
PI 345242,T. monococcum,0,X-19,8071-80
PI 362610,T. monococcum,0,X-19,8081-90
к-18105,T. monococcum,0,X-19,8091-99
Wat,T. monococcum,1,X-19,8101-06
к-20634,T. monococcum,0,X-19,8111-20
к-8555,T. monococcum,0,X-19;II-20,8131-38;216-222
PI 355537,T. monococcum,0,X-19,8172-79
PI 167615,T. monococcum,0,II-20,206-215
Unnamed 1,T. monococcum,0,II-20,226-235
PI 264935,T. monococcum,0,II-20,288-290
PI 190947,T. monococcum,0,II-20,293-305
PI 225164,T. monococcum,0,II-20,322-330
PI 167619,T. monococcum,0,II-20,331-338
PI 290507,T. monococcum,1,II-20,341-343
Jg-45299,T. urartu,1,II-20,144-145
PI 428276,T. urartu,0,II-20,150-154
Jg-44829,T. urartu,0,II-20,159
Jg-116196,T. urartu,0,II-20,166-169
Jg-116201,T. urartu,0,II-20,193
PI 428297,T. urartu,1,II-20,186-187
Jg-42219,T. urartu,0,Х-20,202-205
Jg-44828,T. urartu,0,Х-20,211-216
Jg-44827,T. urartu,0,X-20,222-227
Jg-46419,T. urartu,0,Х-20,231
к-18424,T. boeoticum,0,II-20,139
G-1777,T. boeoticum,1,Х-20,281-282
к-25811,T. boeoticum,1,Х-20,291-298
к-27148,T. boeoticum,1,Х-20,301-310
к-40117,T. boeoticum,0,Х-20,313-319
к-14384,T. boeoticum,0,Х-20,321-329
к-40118,T. boeoticum,0,Х-20,331-334
PI 352328,T. dicoccoides,1,II-16,8461-70
PI 467014,T. dicoccoides,1,X-19;II-20;X-20,7263-70;7348-60;6401-10
PI 66841,T. dicoccoides,0,X-19,7250-60
PI 414721,T. dicoccoides,0,X-19;II-20,7291-7300;7381-90
PI 467016,T. dicoccoides,1,II-20;X-20,7361-69;6411-20
PI 467027,T. dicoccoides,0,II-20;X-20,7371-80;6423
414 B1-b2,T. dicoccoides,0,II-20;X-20,7401-10;6442-50
ICG 24,T. dicoccoides,0,X-20,403-410
