Path;Label;Group
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/304_3_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/305_2_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/302_1_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/302_2_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/300_2_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/298_1_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/300_4_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/304_1_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/302_3_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/293_2_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/293_4_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/302_4_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/293_1_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/298_4_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/296_4_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/304_2_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/305_4_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/298_3_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/305_3_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/300_1_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/304_4_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/296_1_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/298_2_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/300_3_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/296_3_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/296_2_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/305_1_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/293-305/293_3_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/322-330/327_3_{II-20}.jpg;0;train
/data/cv_project/spikedroid/ploid_classification/Диплоиды/T. monococcum/pin/322-330/325_2_{II-20}.jpg;0;train
